Training on 18276 movies
18276
----------------------------- NEW MLP INIT -----------------------------
----------------------------------  batch1  -----------------------------------
-----------------------------------  -----------------------------------
-----------------------------------  -----------------------------------
Num learning steps: 3000
Learning rate: 0.05
Frequency of decreasing learning rate: 50
Glorot and Bengio Weights: true
Momentum influence: 0.0
Print status frequency: 10
Dropout OFF
Minibatch OFF
--------- WEIGHTS BEING INITIALIZED RANDOMLY ---------------
Hidden weights: 0.0736876126183612
Output weights: 0.38254602783800296
Lning rate: 0,050000 | Error derivative: 0,18358656 | Err: 0,07467369
Lning rate: 0,049500 | Error derivative: 0,02288394 | Err: 0,07030612
Lning rate: 0,049500 | Error derivative: 0,02249122 | Err: 0,06979638
Lning rate: 0,049500 | Error derivative: 0,02212326 | Err: 0,06930336
Lning rate: 0,049500 | Error derivative: 0,02176567 | Err: 0,06882626
Lning rate: 0,049500 | Error derivative: 0,02141805 | Err: 0,06836436
Lning rate: 0,049005 | Error derivative: 0,02108304 | Err: 0,06792099
Lning rate: 0,049005 | Error derivative: 0,02075743 | Err: 0,06749173
Lning rate: 0,049005 | Error derivative: 0,02044054 | Err: 0,06707556
Lning rate: 0,049005 | Error derivative: 0,02013205 | Err: 0,06667193
Lning rate: 0,049005 | Error derivative: 0,01983167 | Err: 0,06628032
Lning rate: 0,048515 | Error derivative: 0,01954170 | Err: 0,06590363
Lning rate: 0,048515 | Error derivative: 0,01925940 | Err: 0,06553818
Lning rate: 0,048515 | Error derivative: 0,01898424 | Err: 0,06518315
Lning rate: 0,048515 | Error derivative: 0,01871596 | Err: 0,06483815
Lning rate: 0,048515 | Error derivative: 0,01845432 | Err: 0,06450278
Lning rate: 0,048030 | Error derivative: 0,01820138 | Err: 0,06417957
Lning rate: 0,048030 | Error derivative: 0,01795478 | Err: 0,06386543
Lning rate: 0,048030 | Error derivative: 0,01771406 | Err: 0,06355970
Lning rate: 0,048030 | Error derivative: 0,01747903 | Err: 0,06326208
Lning rate: 0,048030 | Error derivative: 0,01724950 | Err: 0,06297226
Lning rate: 0,047550 | Error derivative: 0,01702730 | Err: 0,06269248
